rank,strategy,params,trades,win_rate,profit_factor,sharpe_ratio,total_pnl,final_equity,score
55,BB_BREAKOUT,"{'bb_period': 12, 'bb_mult': 1.5, 'sl_pips': 3, 'tp_pips': 5}",611,47.62684124386252,0.20965346534631973,-7.848621359362542,-1596.4999999997872,3403.500000000213,0.1
56,BB_BREAKOUT,"{'bb_period': 12, 'bb_mult': 1.5, 'sl_pips': 3, 'tp_pips': 7}",611,47.62684124386252,0.3076754385964982,-6.404946477026657,-1578.4999999997763,3421.5000000002237,0.1
57,BB_BREAKOUT,"{'bb_period': 12, 'bb_mult': 1.8, 'sl_pips': 2, 'tp_pips': 5}",429,26.573426573426573,0.21999228097258788,-6.4066077152659435,-1010.5000000000564,3989.4999999999436,0.1
58,BB_BREAKOUT,"{'bb_period': 12, 'bb_mult': 1.8, 'sl_pips': 2, 'tp_pips': 7}",429,26.573426573426573,0.347678752965243,-4.887986176941232,-962.5000000000819,4037.499999999918,0.1
59,BB_BREAKOUT,"{'bb_period': 12, 'bb_mult': 1.8, 'sl_pips': 3, 'tp_pips': 5}",429,49.417249417249415,0.24317437204199532,-6.135738788178475,-1039.4999999999436,3960.5000000000564,0.1
60,BB_BREAKOUT,"{'bb_period': 12, 'bb_mult': 1.8, 'sl_pips': 3, 'tp_pips': 7}",429,49.417249417249415,0.3617637592532793,-4.803671005828889,-991.4999999999691,4008.500000000031,0.1
61,BB_BREAKOUT,"{'bb_period': 14, 'bb_mult': 1.5, 'sl_pips': 2, 'tp_pips': 5}",551,23.593466424682397,0.19259259259257494,-7.595093948806829,-1362.5000000001546,3637.4999999998454,0.1
62,BB_BREAKOUT,"{'bb_period': 14, 'bb_mult': 1.5, 'sl_pips': 2, 'tp_pips': 7}",551,23.593466424682397,0.3038171903403327,-5.978935630999,-1340.5000000001655,3659.4999999998345,0.1
63,BB_BREAKOUT,"{'bb_period': 14, 'bb_mult': 1.5, 'sl_pips': 3, 'tp_pips': 5}",551,49.18330308529946,0.2224409448816633,-7.183486334724297,-1382.4999999998454,3617.5000000001546,0.1
64,BB_BREAKOUT,"{'bb_period': 14, 'bb_mult': 1.5, 'sl_pips': 3, 'tp_pips': 7}",551,49.18330308529946,0.3251488095238181,-5.795302476178781,-1360.4999999998563,3639.5000000001437,0.1
65,BB_BREAKOUT,"{'bb_period': 14, 'bb_mult': 1.8, 'sl_pips': 2, 'tp_pips': 5}",414,25.36231884057971,0.2095808383233396,-6.384208539224115,-990.0000000000819,4009.999999999918,0.1
66,BB_BREAKOUT,"{'bb_period': 14, 'bb_mult': 1.8, 'sl_pips': 2, 'tp_pips': 7}",414,25.36231884057971,0.3316953316954774,-4.917517117907659,-952.0000000001073,4047.9999999998927,0.1
67,BB_BREAKOUT,"{'bb_period': 14, 'bb_mult': 1.8, 'sl_pips': 3, 'tp_pips': 5}",414,49.275362318840585,0.23511680482270209,-6.084734008942015,-1014.9999999999181,3985.000000000082,0.1
68,BB_BREAKOUT,"{'bb_period': 14, 'bb_mult': 1.8, 'sl_pips': 3, 'tp_pips': 7}",414,49.275362318840585,0.348232154769851,-4.807804337772833,-976.9999999999436,4023.0000000000564,0.1
69,EMA_CROSSOVER,"{'ema_fast': 3, 'ema_slow': 7, 'sl_pips': 2, 'tp_pips': 4}",397,20.151133501259448,0.10884353741481026,-7.421118153677668,-982.5000000000136,4017.4999999999864,0.1
70,EMA_CROSSOVER,"{'ema_fast': 3, 'ema_slow': 7, 'sl_pips': 2, 'tp_pips': 5}",397,20.151133501259448,0.16941973739940155,-6.6333666592222,-980.5000000000382,4019.499999999962,0.1
71,EMA_CROSSOVER,"{'ema_fast': 3, 'ema_slow': 10, 'sl_pips': 2, 'tp_pips': 4}",329,20.364741641337385,0.10935799782355637,-6.736065235787945,-818.4999999999945,4181.5000000000055,0.1
72,EMA_CROSSOVER,"{'ema_fast': 3, 'ema_slow': 10, 'sl_pips': 2, 'tp_pips': 5}",329,20.364741641337385,0.17005076142131823,-6.020458919737002,-817.5000000000091,4182.499999999991,0.1
73,EMA_CROSSOVER,"{'ema_fast': 4, 'ema_slow': 7, 'sl_pips': 2, 'tp_pips': 4}",343,21.282798833819243,0.116613418530176,-6.755164137801796,-829.5000000000209,4170.499999999979,0.1
74,EMA_CROSSOVER,"{'ema_fast': 4, 'ema_slow': 7, 'sl_pips': 2, 'tp_pips': 5}",343,21.282798833819243,0.18123138033763522,-5.999449184332097,-824.5000000000073,4175.499999999993,0.1
75,EMA_CROSSOVER,"{'ema_fast': 4, 'ema_slow': 10, 'sl_pips': 2, 'tp_pips': 4}",289,21.79930795847751,0.12162162162143307,-6.105364466218823,-682.5000000000091,4317.499999999991,0.1
76,EMA_CROSSOVER,"{'ema_fast': 4, 'ema_slow': 10, 'sl_pips': 2, 'tp_pips': 5}",289,21.79930795847751,0.18907563025210455,-5.401250780341208,-675.4999999999836,4324.500000000016,0.1
77,SUPERTREND,"{'st_period': 7, 'st_mult': 1.5, 'sl_pips': 2, 'tp_pips': 5}",129,28.68217054263566,0.2665706051873213,-3.0360146733597553,-254.49999999999818,4745.500000000002,0.1
78,SUPERTREND,"{'st_period': 7, 'st_mult': 1.5, 'sl_pips': 2, 'tp_pips': 6}",129,28.68217054263566,0.34625668449210006,-2.5767280934355243,-244.50000000000273,4755.499999999997,0.1
